,brand_id,brand,model_id,name,image_small,image_large
838,nikon,Nikon,coolpix_8700,Nikon Coolpix 8700,https://live.staticflickr.com/cameras/620_model_small_c55a70dfdf.jpg,https://live.staticflickr.com/cameras/620_model_large_776524898b.jpg
839,nikon,Nikon,1_v1,Nikon 1 V1,https://live.staticflickr.com/cameras/72157627598809921_model_small_6ed1b4f991.jpg,https://live.staticflickr.com/cameras/72157627598809921_model_large_b645e397f9.jpg
840,nikon,Nikon,coolpix_p100,Nikon Coolpix P100,https://live.staticflickr.com/cameras/72157623411112051_model_small_a61b50f0cf.jpg,https://live.staticflickr.com/cameras/72157623411112051_model_large_23e0ec2469.jpg
841,nikon,Nikon,coolpix_4300,Nikon Coolpix 4300,,
842,nikon,Nikon,coolpix_s9100,Nikon Coolpix S9100,https://live.staticflickr.com/cameras/72157626069597532_model_small_d564f31b78.jpg,https://live.staticflickr.com/cameras/72157626069597532_model_large_b03906948e.jpg
843,nikon,Nikon,coolpix_l120,Nikon Coolpix L120,https://live.staticflickr.com/cameras/72157626033818663_model_small_35f55de2f6.jpg,https://live.staticflickr.com/cameras/72157626033818663_model_large_3451c827b1.jpg
844,nikon,Nikon,coolpix_5700,Nikon Coolpix 5700,https://live.staticflickr.com/cameras/321_model_small_06a35a0fdd.jpg,https://live.staticflickr.com/cameras/321_model_large_bfb66f277a.jpg
845,nikon,Nikon,coolpix_s6300,Nikon Coolpix S6300,https://live.staticflickr.com/cameras/72157629147881629_model_small_189b355a80.jpg,https://live.staticflickr.com/cameras/72157629147881629_model_large_2be8be5ebe.jpg
846,nikon,Nikon,coolpix_s6100,Nikon Coolpix S6100,,
847,nikon,Nikon,coolpix_4600,Nikon Coolpix 4600,https://live.staticflickr.com/cameras/95_model_small_e965197823.jpg,https://live.staticflickr.com/cameras/95_model_large_9182bea95a.jpg
848,nikon,Nikon,d810a,Nikon D810A,,
849,nikon,Nikon,coolpix_s220,Nikon Coolpix S220,https://live.staticflickr.com/cameras/72157613847157226_model_small_464b56a6b8.jpg,https://live.staticflickr.com/cameras/72157613847157226_model_large_99a2ff1fb3.jpg
850,nikon,Nikon,coolpix_l25,Nikon Coolpix L25,,
851,nikon,Nikon,d2hs,Nikon D2Hs,https://live.staticflickr.com/cameras/1894_model_small_886b6ca55b.jpg,https://live.staticflickr.com/cameras/1894_model_large_fb9cf1d8c8.jpg
852,nikon,Nikon,coolpix_p50,Nikon Coolpix P50,https://live.staticflickr.com/cameras/72157602274290280_model_small_4c057ee013.jpg,https://live.staticflickr.com/cameras/72157602274290280_model_large_d5871e9e27.jpg
853,nikon,Nikon,coolpix_p4,Nikon Coolpix P4,https://live.staticflickr.com/cameras/278_model_small_62c965316a.jpg,https://live.staticflickr.com/cameras/278_model_large_ef0e46708d.jpg
854,nikon,Nikon,coolpix_l830,Nikon Coolpix L830,https://live.staticflickr.com/cameras/72157640796745194_model_small_30ab9bd9fe.jpg,https://live.staticflickr.com/cameras/72157640796745194_model_large_2b404ef990.jpg
855,nikon,Nikon,coolpix_l310,Nikon Coolpix L310,https://live.staticflickr.com/cameras/72157629332471250_model_small_02a9aca9a5.jpg,https://live.staticflickr.com/cameras/72157629332471250_model_large_9a1efd485e.jpg
856,nikon,Nikon,coolpix_l100,Nikon Coolpix L100,https://live.staticflickr.com/cameras/72157615193016713_model_small_7386ff4403.jpg,https://live.staticflickr.com/cameras/72157615193016713_model_large_d81c44773b.jpg
857,nikon,Nikon,1_aw1,Nikon 1 AW1,https://live.staticflickr.com/cameras/72157635699365556_model_small_dbb7e7a551.jpg,https://live.staticflickr.com/cameras/72157635699365556_model_large_7cbdb496af.jpg
858,nikon,Nikon,coolpix_s3300,Nikon Coolpix S3300,https://live.staticflickr.com/cameras/72157629147881611_model_small_a1a56e69cb.jpg,https://live.staticflickr.com/cameras/72157629147881611_model_large_db1d544c42.jpg
859,nikon,Nikon,coolpix_s8000,Nikon Coolpix S8000,https://live.staticflickr.com/cameras/72157623495818044_model_small_178b197207.jpg,https://live.staticflickr.com/cameras/72157623495818044_model_large_f391e128c8.jpg
860,nikon,Nikon,coolpix_s2600,Nikon Coolpix S2600,,
861,nikon,Nikon,coolpix_7600,Nikon Coolpix 7600,https://live.staticflickr.com/cameras/374_model_small_e81cf14bf7.jpg,https://live.staticflickr.com/cameras/374_model_large_eb08e0a1e2.jpg
862,nikon,Nikon,coolpix_s6200,Nikon Coolpix S6200,https://live.staticflickr.com/cameras/72157627525461122_model_small_d765a0aed1.jpg,https://live.staticflickr.com/cameras/72157627525461122_model_large_013aa8eeeb.jpg
863,nikon,Nikon,coolpix_775,Nikon Coolpix 775,,
864,nikon,Nikon,coolpix_l16,Nikon Coolpix L16,,
865,nikon,Nikon,coolpix_s710,Nikon Coolpix S710,https://live.staticflickr.com/cameras/72157607312176341_model_small_036cccc066.jpg,https://live.staticflickr.com/cameras/72157607312176341_model_large_4701952a7e.jpg
866,nikon,Nikon,coolpix_s52,Nikon Coolpix S52,https://live.staticflickr.com/cameras/72157604872760071_model_small_accfd37c48.jpg,https://live.staticflickr.com/cameras/72157604872760071_model_large_0476775dd8.jpg
867,nikon,Nikon,coolpix_s9700,Nikon Coolpix S9700,,
868,nikon,Nikon,coolpix_s8200,Nikon Coolpix S8200,https://live.staticflickr.com/cameras/72157627525461118_model_small_e748856458.jpg,https://live.staticflickr.com/cameras/72157627525461118_model_large_aa9ef0e797.jpg
869,nikon,Nikon,coolpix_s3500,Nikon Coolpix S3500,https://live.staticflickr.com/cameras/72157632939852929_model_small_8a011b4cc7.jpg,https://live.staticflickr.com/cameras/72157632939852929_model_large_93e77eca70.jpg
870,nikon,Nikon,d1x,Nikon D1X,https://live.staticflickr.com/cameras/569_model_small_fb23ae5af8.jpg,https://live.staticflickr.com/cameras/569_model_large_55b62d493b.jpg
871,nikon,Nikon,1_v2,Nikon 1 V2,https://live.staticflickr.com/cameras/72157632028235716_model_small_b3cf40272f.jpg,https://live.staticflickr.com/cameras/72157632028235716_model_large_5ff1e2907f.jpg
872,nikon,Nikon,d2xs,Nikon D2Xs,https://live.staticflickr.com/cameras/1789_model_small_c3a93c3f60.jpg,https://live.staticflickr.com/cameras/1789_model_large_215030286b.jpg
873,nikon,Nikon,coolpix_p80,Nikon Coolpix P80,https://live.staticflickr.com/cameras/72157604406873485_model_small_1e946d211d.jpg,https://live.staticflickr.com/cameras/72157604406873485_model_large_acfd746772.jpg
874,nikon,Nikon,coolpix_l810,Nikon Coolpix L810,https://live.staticflickr.com/cameras/72157629147881445_model_small_ed159f75e3.jpg,https://live.staticflickr.com/cameras/72157629147881445_model_large_9abbb965af.jpg
875,nikon,Nikon,coolpix_s8100,Nikon Coolpix S8100,https://live.staticflickr.com/cameras/72157625103237108_model_small_dc6202cd94.jpg,https://live.staticflickr.com/cameras/72157625103237108_model_large_06b2c5f7f8.jpg
876,nikon,Nikon,coolpix_s3000,Nikon Coolpix S3000,https://live.staticflickr.com/cameras/72157623528302428_model_small_8a215e6cf3.jpg,https://live.staticflickr.com/cameras/72157623528302428_model_large_2af9c8268f.jpg
877,nikon,Nikon,coolpix_3100,Nikon Coolpix 3100,,
878,nikon,Nikon,1_j2,Nikon 1 J2,https://live.staticflickr.com/cameras/72157631086466876_model_small_a9142ed909.jpg,https://live.staticflickr.com/cameras/72157631086466876_model_large_94a760a14d.jpg
879,nikon,Nikon,coolpix_l27,Nikon Coolpix L27,,
880,nikon,Nikon,coolpix_l110,Nikon Coolpix L110,https://live.staticflickr.com/cameras/72157623351914042_model_small_b39ea3b1fc.jpg,https://live.staticflickr.com/cameras/72157623351914042_model_large_923490f7c1.jpg
881,nikon,Nikon,coolpix_4500,Nikon Coolpix 4500,,
882,nikon,Nikon,coolpix_l330,Nikon Coolpix L330,https://live.staticflickr.com/cameras/72157641028871173_model_small_ebb5da39ca.jpg,https://live.staticflickr.com/cameras/72157641028871173_model_large_ec01cfc148.jpg
883,nikon,Nikon,coolpix_s3100,Nikon Coolpix S3100,https://live.staticflickr.com/cameras/72157626043756083_model_small_2f77ed0439.jpg,https://live.staticflickr.com/cameras/72157626043756083_model_large_f4c0678348.jpg
884,nikon,Nikon,coolpix_5200,Nikon Coolpix 5200,https://live.staticflickr.com/cameras/233_model_small_691feaf818.jpg,https://live.staticflickr.com/cameras/233_model_large_6b39df331b.jpg
885,nikon,Nikon,d2h,Nikon D2H,,
886,nikon,Nikon,coolpix_s9500,Nikon Coolpix S9500,https://live.staticflickr.com/cameras/72157632896053581_model_small_8ae5a5b38b.jpg,https://live.staticflickr.com/cameras/72157632896053581_model_large_9eb4286e06.jpg
887,nikon,Nikon,coolpix_p330,Nikon Coolpix P330,,
888,nikon,Nikon,coolpix_s4,Nikon Coolpix S4,https://live.staticflickr.com/cameras/124_model_small_e34e75bb5c.jpg,https://live.staticflickr.com/cameras/124_model_large_cc6bbb5429.jpg
889,nikon,Nikon,coolpix_990,Nikon Coolpix 990,,
890,nikon,Nikon,coolpix_p5100,Nikon Coolpix P5100,https://live.staticflickr.com/cameras/72157602111714375_model_small_9d7cedae6f.jpg,https://live.staticflickr.com/cameras/72157602111714375_model_large_9e8c19382a.jpg
891,nikon,Nikon,coolpix_950,Nikon Coolpix 950,,
892,nikon,Nikon,coolpix_s210,Nikon Coolpix S210,https://live.staticflickr.com/cameras/72157604057023201_model_small_bd0af5f348.jpg,https://live.staticflickr.com/cameras/72157604057023201_model_large_f9c250798b.jpg
893,nikon,Nikon,coolpix_885,Nikon Coolpix 885,,
894,nikon,Nikon,coolpix_3200,Nikon Coolpix 3200,,
895,nikon,Nikon,coolpix_2100,Nikon Coolpix 2100,https://live.staticflickr.com/cameras/216_model_small_197c022fe3.jpg,https://live.staticflickr.com/cameras/216_model_large_35824916ea.jpg
896,nikon,Nikon,coolpix_4800,Nikon Coolpix 4800,https://live.staticflickr.com/cameras/642_model_small_c5c2cce15f.jpg,https://live.staticflickr.com/cameras/642_model_large_89b2b40679.jpg
897,nikon,Nikon,coolpix_s3600,Nikon Coolpix S3600,,
898,nikon,Nikon,coolpix_8800,Nikon Coolpix 8800,https://live.staticflickr.com/cameras/314_model_small_3d7cdd8ef3.jpg,https://live.staticflickr.com/cameras/314_model_large_022d1bb641.jpg
899,nikon,Nikon,coolpix_l22,Nikon Coolpix L22,https://live.staticflickr.com/cameras/72157600293845174_model_small_485bc4720c.jpg,https://live.staticflickr.com/cameras/72157600293845174_model_large_7bdf4ae556.jpg
900,nikon,Nikon,coolpix_5000,Nikon Coolpix 5000,https://live.staticflickr.com/cameras/244_model_small_ec88b1fd56.jpg,https://live.staticflickr.com/cameras/244_model_large_2900bb3fdb.jpg
901,nikon,Nikon,coolpix_l20,Nikon Coolpix L20,https://live.staticflickr.com/cameras/72157613789770453_model_small_7c0170e63b.jpg,https://live.staticflickr.com/cameras/72157613789770453_model_large_1492200a4b.jpg
902,nikon,Nikon,coolpix_s9300,Nikon Coolpix S9300,https://live.staticflickr.com/cameras/72157629016911759_model_small_750d9c8e5f.jpg,https://live.staticflickr.com/cameras/72157629016911759_model_large_f05060545a.jpg
903,nikon,Nikon,coolpix_s550,Nikon Coolpix S550,https://live.staticflickr.com/cameras/72157604057021553_model_small_fcc0564cb6.jpg,https://live.staticflickr.com/cameras/72157604057021553_model_large_7152e1e27e.jpg
904,nikon,Nikon,ncoolpix_s570,Nikon Coolpix S570,https://live.staticflickr.com/cameras/72157622187680807_model_small_f8f8e653d5.jpg,https://live.staticflickr.com/cameras/72157622187680807_model_large_ba29ab23b9.jpg
905,nikon,Nikon,coolpix_p310,Nikon Coolpix P310,https://live.staticflickr.com/cameras/72157629147881605_model_small_d8913e00a3.jpg,https://live.staticflickr.com/cameras/72157629147881605_model_large_57ffd00742.jpg
906,nikon,Nikon,coolpix_7900,Nikon Coolpix 7900,https://live.staticflickr.com/cameras/90_model_small_faac190987.jpg,https://live.staticflickr.com/cameras/90_model_large_e6c53a3347.jpg
907,nikon,Nikon,coolpix_s4000,Nikon Coolpix S4000,https://live.staticflickr.com/cameras/72157623390289873_model_small_f56e580373.jpg,https://live.staticflickr.com/cameras/72157623390289873_model_large_5f2381a439.jpg
908,nikon,Nikon,coolpix_5400,Nikon Coolpix 5400,,
909,nikon,Nikon,coolpix_s6800,Nikon Coolpix S6800,https://live.staticflickr.com/cameras/72157640981686335_model_small_3f20b2fa6a.jpg,https://live.staticflickr.com/cameras/72157640981686335_model_large_6b252644ab.jpg
910,nikon,Nikon,coolpix_l4,Nikon Coolpix L4,https://live.staticflickr.com/cameras/13_model_small_da399083af.jpg,https://live.staticflickr.com/cameras/13_model_large_3f9815aa05.jpg
911,nikon,Nikon,coolpix_p6000,Nikon Coolpix P6000,https://live.staticflickr.com/cameras/72157606613683578_model_small_38f5e0ee0e.jpg,https://live.staticflickr.com/cameras/72157606613683578_model_large_a1f9ab1ca3.jpg
912,nikon,Nikon,coolpix_5600,Nikon Coolpix 5600,https://live.staticflickr.com/cameras/377_model_small_7bbeb1c636.jpg,https://live.staticflickr.com/cameras/377_model_large_d23ff87559.jpg
913,nikon,Nikon,coolpix_l3,Nikon Coolpix L3,https://live.staticflickr.com/cameras/79_model_small_189085d009.jpg,https://live.staticflickr.com/cameras/79_model_large_26fc768b40.jpg
914,nikon,Nikon,coolpix_s6500,Nikon Coolpix S6500,https://live.staticflickr.com/cameras/72157632845141659_model_small_84d49cf7af.jpg,https://live.staticflickr.com/cameras/72157632845141659_model_large_6a74f43bbd.jpg
915,nikon,Nikon,coolpix_p5000,Nikon Coolpix P5000,https://live.staticflickr.com/cameras/72157600291735961_model_small_f6efc30a56.jpg,https://live.staticflickr.com/cameras/72157600291735961_model_large_87a6061925.jpg
916,nikon,Nikon,coolpix_l11,Nikon Coolpix L11,https://live.staticflickr.com/cameras/72157600292425608_model_small_6f7fc6ee11.jpg,https://live.staticflickr.com/cameras/72157600292425608_model_large_6203078297.jpg
917,nikon,Nikon,coolpix_l26,Nikon Coolpix L26,https://live.staticflickr.com/cameras/72157629147881615_model_small_db29fbc9dd.jpg,https://live.staticflickr.com/cameras/72157629147881615_model_large_846989becd.jpg
918,nikon,Nikon,d1,Nikon D1,https://live.staticflickr.com/cameras/671_model_small_2a2c1fec5f.jpg,https://live.staticflickr.com/cameras/671_model_large_f5e91b2817.jpg
919,nikon,Nikon,coolpix_s4100,Nikon Coolpix S4100,https://live.staticflickr.com/cameras/72157626245472102_model_small_218626aa6b.jpg,https://live.staticflickr.com/cameras/72157626245472102_model_large_96a5cc8ec0.jpg
920,nikon,Nikon,coolpix_p1,Nikon Coolpix P1,https://live.staticflickr.com/cameras/1005_model_small_a0f3c7b0c3.jpg,https://live.staticflickr.com/cameras/1005_model_large_24160a25a9.jpg
921,nikon,Nikon,coolpix_5900,Nikon Coolpix 5900,,
922,nikon,Nikon,1_j4,Nikon 1 J4,https://live.staticflickr.com/cameras/72157643812098714_model_small_1e9b8df8fe.jpg,https://live.staticflickr.com/cameras/72157643812098714_model_large_50782fe8bf.jpg
923,nikon,Nikon,coolpix_s600,Nikon Coolpix S600,https://live.staticflickr.com/cameras/72157604125319376_model_small_97d108f560.jpg,https://live.staticflickr.com/cameras/72157604125319376_model_large_6d645acede.jpg
924,nikon,Nikon,coolpix_4100,Nikon Coolpix 4100,,
925,nikon,Nikon,coolpix_l10,Nikon Coolpix L10,https://live.staticflickr.com/cameras/72157600289471752_model_small_b46937e602.jpg,https://live.staticflickr.com/cameras/72157600289471752_model_large_a579c55296.jpg
926,nikon,Nikon,coolpix_s200,Nikon Coolpix S200,https://live.staticflickr.com/cameras/72157600292847886_model_small_ca0046a678.jpg,https://live.staticflickr.com/cameras/72157600292847886_model_large_a47f3ac5f2.jpg
927,nikon,Nikon,coolpix_s6000,Nikon Coolpix S6000,https://live.staticflickr.com/cameras/72157623584941023_model_small_5c88833513.jpg,https://live.staticflickr.com/cameras/72157623584941023_model_large_44046ec85f.jpg
928,nikon,Nikon,coolpix_l12,Nikon Coolpix L12,https://live.staticflickr.com/cameras/72157600291875421_model_small_a528bb55f5.jpg,https://live.staticflickr.com/cameras/72157600291875421_model_large_7095a5b361.jpg
929,nikon,Nikon,coolpix_2500,Nikon Coolpix 2500,,
930,nikon,Nikon,coolpix_l320,Nikon Coolpix L320,,
931,nikon,Nikon,coolpix_s10,Nikon Coolpix S10,https://live.staticflickr.com/cameras/2386_model_small_2073abd924.jpg,https://live.staticflickr.com/cameras/2386_model_large_6f86cd2c02.jpg
932,nikon,Nikon,coolpix_l18,Nikon Coolpix L18,https://live.staticflickr.com/cameras/72157604111949566_model_small_3e1eb32dd0.jpg,https://live.staticflickr.com/cameras/72157604111949566_model_large_209041a6e8.jpg
933,nikon,Nikon,coolpix_l19,Nikon Coolpix L19,https://live.staticflickr.com/cameras/72157613666745734_model_small_42b87bcf1d.jpg,https://live.staticflickr.com/cameras/72157613666745734_model_large_156c01a55c.jpg
934,nikon,Nikon,coolpix_3700,Nikon Coolpix 3700,,
935,nikon,Nikon,coolpix_2000,Nikon Coolpix 2000,https://live.staticflickr.com/cameras/291_model_small_d7a2f647ea.jpg,https://live.staticflickr.com/cameras/291_model_large_e26b912ef5.jpg
936,nikon,Nikon,1_j3,Nikon 1 J3,https://live.staticflickr.com/cameras/72157632663357977_model_small_2b533ff2ca.jpg,https://live.staticflickr.com/cameras/72157632663357977_model_large_888edff04a.jpg
937,nikon,Nikon,coolpix_s2500,Nikon Coolpix S2500,https://live.staticflickr.com/cameras/72157626126441019_model_small_54a8efdaa9.jpg,https://live.staticflickr.com/cameras/72157626126441019_model_large_c82f4f119f.jpg
938,nikon,Nikon,coolpix_s1,Nikon Coolpix S1,https://live.staticflickr.com/cameras/175_model_small_4f9894523e.jpg,https://live.staticflickr.com/cameras/175_model_large_2246473065.jpg
939,nikon,Nikon,coolpix_2200,Nikon Coolpix 2200,,
940,nikon,Nikon,coolpix_4200,Nikon Coolpix 4200,,
941,nikon,Nikon,coolpix_l21,Nikon Coolpix L21,https://live.staticflickr.com/cameras/72157623561397834_model_small_d5a349eef4.jpg,https://live.staticflickr.com/cameras/72157623561397834_model_large_d9b1b2a36e.jpg
942,nikon,Nikon,d1h,Nikon D1H,https://live.staticflickr.com/cameras/866_model_small_7becfa7796.jpg,https://live.staticflickr.com/cameras/866_model_large_d95a49c0b1.jpg
943,nikon,Nikon,coolpix_800,Nikon Coolpix 800,,
944,nikon,Nikon,coolpix_8400,Nikon Coolpix 8400,https://live.staticflickr.com/cameras/29_model_small_4bae6000b9.jpg,https://live.staticflickr.com/cameras/29_model_large_95323d0c87.jpg
945,nikon,Nikon,coolpix_880,Nikon Coolpix 880,,
946,nikon,Nikon,coolpix_s6,Nikon Coolpix S6,https://live.staticflickr.com/cameras/897_model_small_e15629def3.jpg,https://live.staticflickr.com/cameras/897_model_large_797f066f23.jpg
947,nikon,Nikon,1_s1,Nikon 1 S1,https://live.staticflickr.com/cameras/72157632555823514_model_small_d2341f1143.jpg,https://live.staticflickr.com/cameras/72157632555823514_model_large_d430ab0825.jpg
948,nikon,Nikon,coolpix_l5,Nikon Coolpix L5,https://live.staticflickr.com/cameras/13786_model_small_eb61d181cb.jpg,https://live.staticflickr.com/cameras/13786_model_large_ba70c1d37e.jpg
949,nikon,Nikon,coolpix_l1,Nikon Coolpix L1,https://live.staticflickr.com/cameras/139_model_small_307ab7c6f3.jpg,https://live.staticflickr.com/cameras/139_model_large_8d6d6533a1.jpg
950,nikon,Nikon,coolpix_s630,Nikon Coolpix S630,https://live.staticflickr.com/cameras/72157613321688058_model_small_129986eaf2.jpg,https://live.staticflickr.com/cameras/72157613321688058_model_large_aa364039c6.jpg
